Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,MA50,MA200
2019-05-20,11734.55,11919.5,11672.1,11903.95,799654524.0,309106200000.0,30.8,3.8,1.09,11633.425,11247.8325
2019-05-21,11940.55,11957.75,11759.65,11786.3,665336233.0,259968900000.0,30.39,3.77,1.1,11645.607000000002,11249.818000000001
2019-05-22,11806.65,11855.1,11760.1,11811.3,651781719.0,237411600000.0,30.43,3.77,1.1,11656.909,11251.947000000002
2019-05-23,11974.75,12115.9,11704.75,11745.5,1019874149.0,383108700000.0,30.28,3.75,1.1,11666.938,11253.51875
2019-05-24,11832.9,11956.25,11755.9,11944.65,739232097.0,264385700000.0,30.75,3.82,1.08,11681.331,11255.530250000002
2019-05-27,11950.55,12052.7,11908.75,12023.75,683042290.0,243568700000.0,30.97,3.84,1.18,11694.292,11257.675250000002
2019-05-28,12059.95,12059.95,11970.25,12033.1,1058069075.0,381674500000.0,30.99,3.85,1.18,11704.955,11259.671500000002
2019-05-29,12014.85,12030.15,11939.6,11962.35,545315344.0,206260200000.0,30.71,3.82,1.19,11713.657999999998,11261.335
2019-05-30,11968.55,12059.65,11963.6,12038.2,875194923.0,257311700000.0,30.9,3.85,1.18,11723.964000000002,11263.848
2019-05-31,12092.45,12136.65,11935.9,12028.25,800233741.0,286205600000.0,30.78,3.85,1.18,11732.628,11265.745
2019-06-03,12061.15,12204.05,12024.8,12190.85,561032903.0,226064800000.0,31.19,3.9,1.16,11743.85,11268.328000000001
2019-06-04,12155.8,12200.8,12108.15,12122.6,528209165.0,197451900000.0,31.02,3.88,1.17,11752.372,11270.5635
2019-06-06,12141.85,12141.85,11921.1,11932.95,673613170.0,261376700000.0,30.53,3.81,1.19,11757.405,11271.5695
2019-06-07,11951.65,11983.0,11854.25,11957.05,490196986.0,187867700000.0,30.6,3.82,1.19,11764.275,11272.574
2019-06-10,12019.5,12058.6,11959.55,12006.85,492817086.0,165862000000.0,30.72,3.84,1.18,11774.317,11274.071499999998
2019-06-11,12042.45,12085.1,11984.1,12053.6,510749542.0,188929200000.0,30.84,3.85,1.18,11782.736,11276.21625
2019-06-12,12050.0,12050.05,11953.25,11989.2,443050034.0,174189400000.0,30.68,3.83,1.18,11790.607,11277.645250000001
2019-06-13,11960.05,12011.65,11897.15,11995.2,649688906.0,225073900000.0,30.69,3.83,1.18,11796.124,11279.3825
2019-06-14,11991.15,11992.95,11874.8,11899.35,558562993.0,195445500000.0,30.45,3.79,1.2,11798.327000000001,11280.14325
